id;name;step;level
1;Expressway Handcrafted Centralized;Awesome Frozen Table alliance compressing;35010
2;Cambridgeshire;Enterprise-wide Executive;24546
3;Unbranded;Cambodia Usability;86561
4;Garden Small Frozen;wireless virtual deposit;38688
5;Tuna;Garden;91173
6;Intelligent Rubber Keyboard revolutionary;Plastic;44709
7;demand-driven didactic Metrics;Auto Loan Account;48790
8;emulation National indexing;Uganda Shilling PCI;45763
9;port Berkshire;Ball;93214
10;Rubber Uganda Shilling;bypass;99098
